Cities,Latitude,Temp,Humidity,Windspeed,Cloudiness
cherskiy,68.75,-5.24,100,1.12,48
lagoa,37.14,22,78,2.1,75
ixtapa,20.71,30,66,3.6,5
kruisfontein,-34,17.91,96,3.37,80
kunnamangalam,11.3,25,83,1,40
chokurdakh,70.62,-4.79,84,3.42,68
new norfolk,-42.78,6,75,5.1,75
laguna,27.52,30,35,2.1,75
nikolskoye,59.7,6,93,3,0
general pico,-35.66,18.26,33,2.07,92
norman wells,65.28,1,91,3.1,75
puerto ayora,-0.74,25,65,11.3,0
kaffrine,14.1,32,84,3.1,0
buraydah,26.33,25,31,1.22,0
talara,-4.58,17,290,5.7,0
nanortalik,60.14,0.01,100,1.42,36
preobrazheniye,42.9,2.46,95,1.12,20
kloulklubed,7.04,26,88,2.97,75
ponta do sol,-20.63,25.16,71,1.42,56
qaanaaq,77.48,-7.29,100,3.32,80
albany,42.65,29,56,5.7,20
airai,-8.93,12.21,77,0.72,0
arraial do cabo,-22.97,25,83,2.6,75
mahebourg,-20.41,23,60,7.7,40
kaeo,-35.1,15.96,93,3.42,92
taltal,-25.41,19.31,66,1.67,0
fortuna,38.18,20,82,2.6,40
aklavik,68.22,1,86,3.1,90
port elizabeth,39.31,27.3,81,3.1,20
sitka,37.17,12.01,99,3.57,0
rantauprapat,2.1,21.81,99,0.97,92
key west,47.93,0,100,9.8,90
kericho,-0.37,12.81,95,3.47,80
barrow,-38.31,13.66,33,6.37,0
brae,60.4,12,87,9.3,24
klyuchi,52.25,-2.39,73,1.32,12
wajir,1.75,28.91,44,5.32,76
chuy,-33.69,14.51,76,7.57,0
hamilton,32.3,25,69,4.1,40
camocim,-2.9,30.76,47,7.87,0
zhezkazgan,47.8,1.01,75,1.32,0
alta floresta,-9.87,28.71,81,0.77,24
mareeba,-16.99,24,73,5.1,20
burgeo,47.61,8.56,100,11.37,20
bredasdorp,-34.53,18,88,0.5,48
havre-saint-pierre,50.23,5,48,3.6,20
grand gaube,-20.01,23,60,7.7,40
lorengau,-2.02,28.66,100,3.47,64
tuktoyaktuk,69.44,-2,100,3.1,90
bria,6.54,20.11,98,2.12,64
nabire,-3.36,20.41,95,0.62,88
beyneu,45.32,2.56,59,2.07,0
avarua,-21.21,26,61,6.2,75
comodoro rivadavia,-45.87,13,37,4.1,75
kodiak,39.95,10.6,71,6.7,90
thunder bay,48.41,3,93,6.7,90
manakara,-22.14,19.81,100,0.87,92
holme,53.7,17,72,4.1,0
altagracia de orituco,9.86,31.36,58,2.87,36
bandarbeyla,9.49,25.21,94,5.72,8
castro,-42.48,11.06,66,3.92,0
tuy hoa,13.08,24.31,100,3.77,92
meulaboh,4.14,23.41,100,2.07,88
walvis bay,-22.95,14,82,2.6,24
monrovia,6.33,26,88,1.5,75
provideniya,64.42,6,93,8,90
faanui,-16.48,27.01,99,3.77,0
port lincoln,-34.72,13.11,94,4.37,8
srandakan,-7.94,20.71,98,1.07,8
goya,-29.14,22.01,52,8.52,20
andrews,32.32,23.2,30,4.6,1
nemuro,43.32,14.81,98,8.52,92
victoria,5.28,28,88,1.5,75
eskil,38.4,12.06,90,1.72,44
batemans bay,-35.71,11.81,96,2.77,92
hasaki,35.73,21,94,3.6,75
victor harbor,-35.55,13,58,0.5,20
arklow,52.79,18,68,8.7,0
lianzhou,24.79,14.61,98,0.97,88
matay,28.42,20.41,59,2.07,24
gusev,54.59,6.41,79,1.22,0
qaqortoq,60.72,-2,54,0.5,44
agadez,16.97,25.91,21,0.97,48
oktyabrskiy,55.61,12,71,5,75
acapulco,16.86,29,79,1.5,75
dingle,11,23.76,99,3.37,24
north bend,43.41,15,72,6.7,1
torbay,47.66,5,80,9.8,90
duluth,46.77,7,96,9.3,90
ejutla de crespo,16.57,22,68,3.6,90
cayenne,4.94,28,83,2.6,0
necochea,-38.55,12.01,54,7.42,0
pevek,69.7,0.81,100,5.37,0
haines junction,60.75,-0.59,64,1.22,88
pontal do parana,-25.67,17,100,4.6,90
scarborough,54.28,14,93,0.5,0
hithadhoo,-0.6,27.56,100,4.57,92
souillac,45.6,17,93,3.1,0
parksville,33.79,28.9,95,3.6,75
ust-maya,60.42,-9.49,80,1.07,8
biak,-0.91,23.61,100,1.42,92
xining,36.62,-3.09,81,1.07,56
papara,-3.98,27,78,6.2,20
berlevag,70.86,3,100,9.3,40
san ramon,12.92,27,69,1.07,75
evensk,61.92,5.36,100,6.62,92
san carlos de bariloche,-41.13,14,20,1.5,0
saint george,39.45,13,76,0.52,20
imbituba,-28.24,20,88,4.1,75
cuamba,-14.8,20.61,82,1.67,80
atbasar,51.81,5.96,79,5.12,0
thompson,55.74,2,43,2.6,20
san andres,13.32,27.81,100,4.87,0
katsuura,33.93,17,93,3.1,75
kabanjahe,3.1,25,94,0.27,75
turukhansk,65.8,0.56,93,4.52,92
sisimiut,66.94,-9.44,100,0.97,0
adrar,27.87,23,53,6.7,40
plettenberg bay,-34.05,17.06,100,1.72,80
sao filipe,14.9,26.81,96,4.02,36
khatanga,71.98,-2.34,92,1.37,64
kalabo,-15,20.26,23,4.12,0
sayula,19.88,28,69,1.07,75
ilulissat,69.22,-4,41,2.1,75
axim,4.87,26.36,97,4.82,92
sivas,39.75,9,87,4.6,75
lebu,8.96,9.51,52,2.57,0
ortakoy,38.74,14,82,3.6,40
angoche,-16.23,24.52,100,0.91,0
pisco,-13.71,22,30,7.2,0
zyryanka,65.73,-4.21,87,1.96,0
buala,-8.15,30.25,79,3.41,100
port blair,11.67,27.92,100,8.56,64
rio grande,-32.03,17,55,4.6,20
anloga,5.79,27,88,4.1,20
tasiilaq,65.61,-2,58,1.5,20
mount isa,-20.73,26,24,6.2,68
porto novo,-23.68,24,73,4.1,75
neubrandenburg,53.56,13.42,87,5.96,0
arandis,-22.42,17.92,85,1.26,68
plouzane,48.38,15,87,4.6,0
ribeira grande,38.52,20.85,100,10.51,68
santo antonio do ica,-3.1,26.65,90,1.26,0
georgetown,6.8,28,74,4.1,20
dali,25.6,11.2,100,0.51,92
wicklow,53,18,82,6.7,75
marsh harbour,26.54,27.27,100,4.06,56
yumen,40.29,-1.83,69,2.21,0
concepcion del oro,24.63,21.77,24,0.86,0
alexandria,31.31,27.5,60,5.7,1
upernavik,72.79,-1.86,100,4.96,64
mubende,0.56,16.52,97,1.61,56
esperance,10.24,27,88,2.6,20
caravelas,-17.73,25.65,98,9.16,44
tuatapere,-46.13,6.57,100,1.31,36
komsomolskiy,67.55,-0.76,93,1.31,76
champerico,16.38,27,69,2.6,90
playas,-2.64,22.35,85,3.81,88
iqaluit,63.75,-6,85,4.1,40
san patricio,-26.98,21.15,92,4.21,100
kieta,-6.22,28.5,93,1.41,0
waddan,29.16,17.35,62,4.01,0
camacha,33.08,23,78,2.6,20
san quintin,17.54,24,88,1,20
vostok,46.45,5.27,96,1.31,48
porto,41.15,18,72,8.2,75
linda,39.13,25,40,2.1,1
butterworth,5.4,26,94,0.5,75
hami,42.84,2.7,45,3.46,0
bilma,18.69,22.05,29,1.56,0
severo-kurilsk,50.68,9.15,87,4.81,8
vao,59.1,5.17,86,1.16,0
mackenzie,55.34,4,60,1.5,90
longyearbyen,78.22,-7,73,2.6,75
vanimo,-2.67,27.95,100,4.81,8
yeppoon,-23.13,25,69,5.7,20
omboue,-1.57,25.6,100,4.26,92
san bernardo,-33.59,18,45,1.5,75
mecca,21.43,19.25,51,1.26,0
dunedin,-45.87,6.85,95,1.86,80
labelle,26.76,30,72,7.7,40
chimore,-16.98,22.4,97,1.61,92
kingston,44.23,25.1,88,1,75
hambantota,6.12,25.25,100,4.91,92
pultusk,52.7,10,87,2.6,0
areka,7.07,13.8,97,0.86,56
americo brasiliense,-21.72,22.57,89,1.56,64
richards bay,-28.77,22.02,71,5.71,0
karratha,-20.74,25.32,29,2.11,0
leningradskiy,69.38,2.42,95,6.01,88
labuhan,-2.54,25,92,0.71,48
yulara,-25.24,21,40,5.7,92
jijiga,9.35,12.55,87,1.66,0
tsaratanana,-16.8,21.82,68,6.11,0
busdi,8.28,25.9,73,1.16,0
kamenka,53.19,7.75,81,5.06,8
prince rupert,54.32,12,81,1.5,1
codrington,-28.95,16.55,100,2.31,92
safita,34.82,22,73,2.1,40
cabo san lucas,22.89,29,58,2.1,20
margate,-43.03,9,61,3.6,75
shingu,33.72,21.35,100,3.06,100
san antonio,-33.58,13,81,1.5,0
luganville,-15.51,26.27,100,5.56,80
keuruu,62.26,5,100,1.5,0
tual,-5.67,27.17,100,0.51,12
elmadag,39.92,12,71,4.1,40
seversk,56.6,1.25,83,2.06,0
seoul,37.57,10,43,6.2,0
san cristobal,-0.39,16,59,3.6,75
baiyin,36.55,-1,68,2,0
rio gallegos,-51.62,11,43,9.8,40
kavieng,-2.57,30.05,97,5.66,92
tura,25.52,21.02,96,1.16,80
gorontalo,0.54,25.27,93,1.01,32
malgrat de mar,41.65,17,100,1.5,20
sahuaripa,29.05,23.07,44,1.21,0
pangody,65.85,0.55,94,5.91,92
cabra,37.47,19,77,1.01,32
christchurch,-43.53,9,93,2.1,92
martapura,-3.41,25,94,1.86,20
naryan-mar,67.67,4.7,96,9.71,76
bagdarin,54.44,-7.08,67,1.06,8
svay rieng,11.08,23.77,97,2.86,48
charters towers,-20.07,27.15,67,4.81,12
port macquarie,-31.43,14,87,3.1,90
mulege,26.88,28.2,44,2.01,0
port hardy,50.7,11,81,2.1,75
beringovskiy,63.05,6.6,100,4.71,92
yenagoa,4.92,22.3,97,1.56,76
husavik,50.56,1.27,93,6.96,88
rio pardo de minas,-15.62,22.17,43,3.91,0
dhamtari,20.71,23.8,67,4.31,80
tessalit,20.2,20.3,25,2.66,0
pacific grove,36.62,21,49,5.7,1
avera,33.19,28.9,94,3.1,1
totskoye,52.53,9.6,61,5.81,92
majene,-3.54,27.8,100,5.01,8
mahajanga,-15.72,25,78,6.86,20
akdepe,42.05,9,61,2.1,0
pokhara,28.21,9.77,79,0.86,44
lata,30.78,6.65,79,1.21,0
asyut,27.18,21,52,3.1,0
lasa,34.92,21,82,2.6,20
raudeberg,61.99,12,81,5.1,36
touros,-5.2,25.25,85,7.01,8
shubarshi,48.59,2.4,71,4.81,0
the valley,18.22,28,69,4.1,20
tocopilla,-22.09,15.67,99,1.01,20
kenai,60.55,9.4,79,10.8,90
bambous virieux,-20.34,22,60,7.7,40
muros,42.77,15,82,6.7,75
sioux lookout,50.1,-1,100,4.1,90
dunda,30.62,6.65,79,1.21,0
mishelevka,52.86,-0.58,77,0.86,0
porbandar,21.64,25.05,86,2.91,24
puerto madryn,-42.77,9.85,74,4.21,0
chambas,22.19,29,74,2.6,40
yonibana,8.44,22.17,99,2.21,92
alvaraes,-3.22,30,79,1.01,40
hofn,64.25,6,100,5.81,92
erzincan,39.75,17,55,3.1,40
bhimunipatnam,17.88,25.52,86,4.21,88
mizdah,31.45,16,79,3.41,0
freeport,26.54,30,79,2.6,40
basar,27.98,15.5,67,0.96,0
maniwaki,46.38,11.77,99,2.71,92
guanica,17.97,27,100,5.7,40
mount darwin,-16.77,16.7,69,2.41,0
puertollano,38.69,10.8,86,1.36,44
houma,35.63,4.17,68,0.96,0
nelson bay,-32.72,15,72,4.6,75
oktyabrskoye,56.73,1.77,75,2.16,8
kavaratti,10.57,27.2,100,5.86,68
qazanbulaq,40.62,16,77,2.1,75
sur,22.57,27.5,97,3.46,0
killybegs,54.63,15.27,86,10.16,88
saint-augustin,44.83,16,93,4.1,0
namatanai,-3.66,29.65,93,5.16,76
coihaique,-45.58,10,67,4.1,20
sampit,-2.54,23.2,100,0.71,92
sungairaya,0.7,25.15,98,1.71,88
mayumba,-3.44,24.4,100,3.06,92
klaksvik,62.23,12,87,5.7,24
ternate,14.29,28,94,2.76,40
galveston,40.58,22,100,4.1,75
rock sound,24.9,26.95,100,3.31,80
sola,58.89,11,93,5.7,0
bodo,5.91,24.52,89,3.46,32
newark,40.74,24.2,84,2.6,40
uhlove,44.82,13.6,100,5.71,20
ojinaga,29.56,25.35,22,0.91,0
sechura,-5.56,19.27,81,4.26,0
zhigansk,66.77,0.17,92,0.86,88
mandurah,-32.55,16,100,3.6,90
coquimbo,-29.95,13,82,4.6,0
dudinka,69.41,-5.16,89,2.41,32
verkhnevilyuysk,63.45,-2.71,87,1.21,12
tilichiki,60.47,6.1,86,4.86,24
akhmim,26.56,17.17,59,1.86,0
tiksi,71.64,-0.68,94,3.41,92
voznesenye,61.02,5.75,100,6.81,0
vilhena,-12.74,23,94,1.5,0
clyde river,70.47,-7,79,5.7,90
bikramganj,25.22,22.95,70,2.76,8
kurtamysh,54.91,11.27,57,9.51,88
matara,-13.74,11.3,49,0.91,64
westport,53.8,15.1,77,10.61,0
progreso,-34.68,14,54,6.2,75
mount gambier,-37.83,13.67,76,2.71,0
beloha,-25.17,22.17,65,6.46,44
gimli,50.63,1.27,93,6.96,88
tikrit,34.62,26.42,31,4.36,88
forest grove,45.52,20,41,1.5,20
lompoc,34.64,21.1,58,5.1,75
nizhniy baskunchak,48.22,5.55,77,1.31,0
miandrivazo,-19.53,19.85,94,1.46,76
hovd,63.83,9,93,1.06,20
vlore,40.47,21.67,100,2.16,0
bathsheba,13.22,28,83,6.2,20
khorinsk,52.16,-4.33,74,1.11,0
conde,-11.81,24.1,89,4.56,92
broken hill,-31.97,15.35,85,6.01,92
chilca,-13.22,19,34,4.1,40
wonthaggi,-38.6,14.67,61,2.41,20
new smyrna beach,29.03,31,88,4.6,75
marienburg,52.12,16,77,2.1,0
nhulunbuy,-12.18,27,69,5.7,40
gavrilov posad,56.56,9.02,75,6.46,32
skibbereen,51.55,14,93,10.8,75
maiduguri,11.84,23.65,44,2.16,8
reggello,43.68,16,87,1,0
hervey bay,-25.3,23.55,90,3.86,8
broome,52.47,16,100,3.1,0
kopervik,59.28,11,93,5.7,0
cam ranh,11.92,24.52,100,5.61,92
san jose,15.79,25.57,88,0.66,8
tadine,-21.55,24.65,90,3.86,20
perth,56.4,14,93,4.6,5
weyburn,49.67,1.17,72,2.76,76
petropavlovsk-kamchatskiy,53.05,7,56,1,0
catuday,16.29,26.27,100,2.66,0
caconda,-13.73,14.75,33,1.81,0
challapata,-18.9,8.6,51,2.36,88
laramie,41.31,-2.68,85,1.76,80
whitehorse,60.72,1,69,7.7,90
del rio,29.36,28.5,47,3.6,1
gasa,27.91,-16.61,53,0.61,8
kazuno,40.2,16,87,5.1,75
kjopsvik,68.1,5,93,4.1,92
tarauaca,-8.16,27.57,86,0.56,12
russell,-33.01,17,45,1.5,0
kenora,49.76,-2,92,8.7,90
samarai,-10.62,26.15,99,6.86,92
torata,-17.08,5.3,66,0.86,0
alice springs,-23.7,22,40,3.6,0
jaru,-10.43,25.57,88,1.01,12
inirida,3.87,27.17,79,1.41,36
itoman,26.12,25,81,5.1,20
olinda,-2.03,23,78,5.1,90
alto piquiri,-24.02,21.4,94,3.46,80
paka,45.29,11,81,3.1,0
kresttsy,58.25,7.05,93,2.96,0
yar-sale,66.83,1.17,100,5.76,92
anadyr,64.73,4,93,6,90
vardo,39.62,26.1,62,5.1,90
sabang,13.72,27.5,94,2.56,24
halifax,44.65,8,87,4.6,90
sjovegan,68.87,5,100,8.2,80
itarema,-2.92,26,72,7.76,0
mildura,-34.18,15.27,76,7.26,68
kiama,-34.67,12,87,3.1,75
balsa,48.17,9,87,0.5,0
lamu,0.57,25.75,96,0.16,20
wencheng,27.79,11.8,95,1.71,100
ivankiv,50.93,8,93,1,56
khorixas,-20.37,17.45,83,1.06,24
hermosillo,29.09,31,31,2.6,40
sompeta,18.93,23.25,98,5.56,92
isangel,-19.55,24.55,98,5.11,0
bintulu,3.17,25,100,1.26,90
choma,-16.81,11.85,63,1.11,0
paamiut,61.99,0.32,100,5.61,8
poum,41.28,2.82,86,0.76,0
fort nelson,58.81,5,44,3.1,20
kijang,35.24,11,57,4.6,0
ust-nera,64.57,-12.43,92,1.06,68
kodinsk,58.6,5.17,75,2.91,88
bela,26.23,11.95,24,2.51,0
